Player,Position_y,Minutes played_y,Duels per 90,"Duels won, %",Successful attacking actions per 90,Goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Short per medium passes per 90,Conceded goals per 90,Shots against per 90,"Save rate, %",xG against per 90,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Successful defensive actions per 90_y,Defensive duels per 90_y,"Defensive duels won, %_y",Aerial duels per 90_y,"Aerial duels won, %_y",Sliding tackles per 90_y,Shots blocked per 90_y,Interceptions per 90_y,Fouls per 90_y,Yellow cards per 90_y,Red cards per 90_y,Passes per 90_y,"Accurate passes, %_y",Forward passes per 90_y,"Accurate forward passes, %_y",Back passes per 90_y,"Accurate back passes, %_y",Lateral passes per 90_y,"Accurate lateral passes, %_y","Accurate short per medium passes, %_y",Long passes per 90_y,"Accurate long passes, %_y",Assists per 90_y,xA per 90_y,Shot assists per 90_y,Second assists per 90_y,Third assists per 90_y,Smart passes per 90_y,"Accurate smart passes, %_y",Key passes per 90_y,Passes to final third per 90_y,"Accurate passes to final third, %_y",Through passes per 90_y,"Accurate through passes, %_y",Deep completions per 90_y,Deep completed crosses per 90_y,Progressive passes per 90_y,"Accurate progressive passes, %_y"
A. Abbott,"RB, RCB, RDMF",67,-0.4735318460485688,0.10513418519870066,-1.047681192716122,-0.6079971934472636,-0.23310109622516195,-0.2892271089470813,0.2996349000802774,-1.1649819842307712,-0.6411078570344857,-0.9266444976257459,-1.0513883915178992,-0.5988272086939708,-0.9814646255038882,-1.6447190084914232,-0.8233545240662141,1.0673020828111277,-0.06201503305282611,0.2378303724185862,-0.6549720631190574,0.10716268901394943,0.2530651234857853,1.1785654673486843,0.6688991874086065,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,-0.6080760341444643,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,-1.0526991947097428,-0.693847773315792,0.1497926757837232,2.1734238565772177,0.3100135534089903,-0.7354693645641698,-0.689625615577754,-1.2050500640365795,-1.0687488450812788,-0.5749909185753725,-0.19848452094881386,0.674006179761329,0.5918814586678183,1.9080903055290803,1.283735954675276,-0.7680824895385228,0.7152234965191602,-0.05366258446518417,0.4979372009098465,0.4485306013924308,0.615980371235348,0.6991014785372387,-0.5727508604383934,-0.8282384901595177,-1.0594681794066285,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,2.1749993867287105,1.7950929053756903,-0.8752239236845886,-0.7774851043200137,-1.093511744222993,-0.7817756871863485,0.7631610891527264,0.5652421508424843
A. Apostolakis,RB,1960,-0.15917479067158552,0.23862912004004352,-0.46184158498723327,-0.1524373366856252,-0.7407977246527399,-0.2892271089470813,-0.5329843561304339,0.6113754020135703,0.7615606485798337,-0.31173251367578925,0.24840736684693282,-0.2526672115734442,-0.3184629172893855,-0.12401217502617733,-0.4248306048579153,-0.03611632928094445,-0.6745654820795163,0.14035890831260817,-0.28699256067041534,1.9985811461102803,-0.6360826076804872,-0.10131259280758854,1.70542240672207,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,0.8844939249775021,-0.21148595311615026,-0.188587837560883,1.146415953035543,0.9120326185201092,1.4212441481740434,2.413275489672533,0.3089408788972231,0.487216404046974,0.2101813665240159,-0.37392555233141145,0.17638928359059944,-0.5719198993001566,0.5032403140702528,0.17651343313589662,-0.3270515778086689,-0.23614767553458182,-0.19848452094881386,1.510489679506505,0.8387007128624929,0.8141247724504864,0.9425192462965751,0.05858014323956469,0.6045204870326818,2.444251623846287,0.7712550028048907,0.5944942216233063,-0.06805153694269357,0.7991820778212833,0.04057378418262098,0.3389268618267946,0.5770162033573135,-0.3115701920754434,-0.30186267881787887,-0.1873089363522886,-0.6285953491510956,-0.4296021670513178,0.07976762817880442,1.0693335240201742,-0.4383587399341753,-0.7774851043200137,-0.656256535494045,-0.35624530616377226,0.8739894507657849,0.07959132251169353
A. Bennett,"RB, RCB",697,0.008180763989542256,0.4485651379025709,-0.3397916667103815,-0.6079971934472636,-0.8042598032061871,-0.2892271089470813,-0.9141835336726873,-1.1649819842307712,-0.6411078570344857,-0.707634749917542,1.028284821865832,-0.5988272086939708,-0.2917289774420265,1.3414505221227069,-0.3523717104564064,0.7804018196566628,-0.858989273184326,-0.43472272991266175,-0.12344611513768547,0.9025217236222484,0.5781298854175406,0.8672437770404016,1.0076201680056847,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,0.6592003462421109,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,0.3817558560954563,0.5128917122505123,0.02947627667520136,-0.5143809082110852,0.9789374506680225,-0.7354693645641698,-0.689625615577754,0.4886444454600488,-0.6906286696089678,-0.5749909185753725,-0.19848452094881386,1.0087682255262835,0.21144137891621623,1.0971255918560758,0.22996143423239504,0.547829456516392,0.41133288224255227,0.29294900780745287,0.5185736121267543,0.16572608719510953,0.632911854111042,-0.11472466295789607,-0.5727508604383934,-0.8282384901595177,-1.0594681794066285,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,0.5253054159164282,0.05242099682827748,0.7023447954141262,0.0721753911666055,-0.7777163156965304,-0.47444818978115455,1.1249830932424174,-0.4902250422682443
A. Briedis,"CF, LWF, LCMF",81,2.1544026744410316,-1.3217660311967339,0.9844499465934607,5.01057437327961,-0.48694941043895085,-0.2892271089470813,0.0689090820941767,2.743395103215525,7.073491777847923,-0.9266444976257459,-1.0513883915178992,-0.5988272086939708,3.178336414745169,-0.5782832148708519,2.9006512855692277,-1.2279000224245917,-0.21350600431749137,1.0955792565511924,-0.6549720631190574,-0.46169475472390065,0.03316837276724484,0.7807655297325455,0.0506871244609332,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,-0.6080760341444643,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,0.12690343590163944,0.3759567351649744,-0.28952352479260385,0.8710196475111518,-1.6963568642845674,2.895328764296921,-0.689625615577754,-0.18678659760205082,3.7740980176987033,-0.5749909185753725,-0.19848452094881386,-0.2484867120947417,1.3562626005000258,-0.5871857365417037,0.9158707427559638,1.3238800913692907,0.7152234965191602,-0.37485599330449465,1.262401589767293,0.8762254739071654,-0.8265819697737891,3.1400917049773547,-0.5727508604383934,-0.0987601451680725,1.1290832240487643,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,0.18412783071194175,1.2897038953420379,-0.8752239236845886,-0.7774851043200137,1.6028953762721865,-0.7817756871863485,-0.7786570003465886,0.5652421508424843
A. Cassar,"LW, CF, RWB",104,-0.03478890545047731,-0.7257471519880818,-1.047681192716122,-0.6079971934472636,-0.8042598032061871,-0.2892271089470813,-1.0445937786213528,-1.1649819842307712,-0.6411078570344857,-0.1938041879867565,-1.0513883915178992,-0.5988272086939708,-0.9814646255038882,-1.6447190084914232,-0.1807585395054645,-1.8017005487335216,-0.37158353955018564,-1.0682872466015185,-0.6549720631190574,-0.8769476713197225,-0.1962891062434062,-1.1390515605018636,-0.5527174639251189,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,-0.6080760341444643,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,-0.14008481382521673,-0.11472693272487061,1.0275031121922502,-0.6995266045979278,-1.6963568642845674,-0.7354693645641698,-0.689625615577754,-0.5603204320227574,0.1964994343837616,-0.5749909185753725,-0.19848452094881386,-0.6734742966426942,0.6753215375090443,-0.5856642267599533,-0.6477012367247054,0.659175851951808,0.7152234965191602,-1.1166048007679379,1.262401589767293,0.3674993269260253,-0.6166315821151824,3.1400917049773547,-0.5727508604383934,-0.8282384901595177,-1.0594681794066285,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,-0.20922985575911354,0.1099909867667514,-0.8752239236845886,-0.7774851043200137,-1.093511744222993,1.2749544877561034,-1.3002022314668644,-0.30621095015582395
A. Cerne,RCB,868,-0.6442797430339086,-0.25602223603182095,-0.7974788602485758,-0.6079971934472636,-0.7407977246527399,-0.2892271089470813,-0.8339310752427392,-1.1649819842307712,-0.6411078570344857,-0.7497520090921967,-1.0513883915178992,-0.5988272086939708,-0.7034316510913549,1.3414505221227069,-0.8824657273937607,0.4435809107133211,-0.602113278431198,-0.5614356332504331,-0.6549720631190574,0.6148386685511615,-0.8272971735226963,-0.6028864271931549,0.6411351726055673,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,2.743165949544479,-0.21148595311615026,-0.188587837560883,-0.1393581293958313,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,-0.018726518494827836,-0.24595628576517795,-0.5333831996140906,-0.19516419030273569,-0.6931716554377886,-0.40837043403614354,2.0315997864317614,0.8161261633083393,-0.16707765741653735,1.52583718827753,-0.19848452094881386,0.8072364145997742,0.4839345035235756,1.1001686114195766,0.5972473308573467,-0.5217707663026028,0.4333494471544288,1.2218680750981201,0.8074833691634616,0.4721423634886017,1.1848781958586696,0.55557125322256,-0.5727508604383934,-0.8282384901595177,-0.6454179138880408,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,0.356723550285976,0.26052235390095785,-0.12284499611443232,0.6384741114084371,-0.8505921838180218,-0.7817756871863485,1.516142016582624,0.21655635698173342
A. Chessari,"LCMF, LDMF",1796,1.3651176936743616,-0.7600902472584686,-1.047681192716122,-0.6079971934472636,-0.7407977246527399,-0.2892271089470813,-0.11165894937320651,-1.1649819842307712,-0.6411078570344857,-0.14326347697717098,-1.0513883915178992,-0.5988272086939708,-0.48421334434301117,-1.6447190084914232,1.1406628768167892,-0.981739596638061,-0.9446146047687021,-0.16180263041592344,-0.6549720631190574,-0.40832369020845016,-1.0280724676570159,0.46944383942426293,0.34683661569335167,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,-0.6080760341444643,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,0.44728933557386674,1.3316487627411258,-0.6186649384458016,-0.6612205984489258,-1.6963568642845674,5.348570743257117,-0.689625615577754,-0.46821619887792576,5.67924197873227,-0.5749909185753725,-0.19848452094881386,0.475847286172502,-0.000368051988433246,-0.07747995965529347,-1.291320528759912,1.14167689883861,0.37071076951782195,-0.6290378276377617,1.262401589767293,0.3047135049884802,0.6837063027381245,-0.9280626064077425,-0.5727508604383934,-0.6823428211612287,0.7741829964614031,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,1.3802563058994357,0.1099909867667514,3.639049641736349,-0.7774851043200137,-1.093511744222993,-0.7817756871863485,0.25139483111595584,-0.6794668074520399
A. Chidiac,"LCMF, DMF",1845,0.25242941133280977,0.16661940415052254,0.17281799005239618,-0.10181957482322089,-0.1696390176717147,-0.2892271089470813,0.07894063939792023,0.02433716347913661,0.029753727214888545,-0.429660839364822,0.334921772523696,-0.4065160991825671,0.03442508869575296,0.9394374490637798,0.43132843688622874,0.4630901286078245,-0.042255341148739314,1.115073549372388,3.515462297965553,0.8530558589493915,-0.884661543275359,2.2336000845045305,1.1797570597845277,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,0.7014428922549967,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,1.062352807477574,0.01768097010428898,0.2704026903282054,0.35170295474744934,-0.5079965738529182,-0.19157905101439912,0.5402164644951324,-0.5032403140702529,-0.46821619887792576,-0.1525345737445254,-0.23614767553458182,-0.19848452094881386,0.8510843399896426,0.8958834242362003,-0.004447490131270721,0.5995645920347907,1.9615912652266723,0.5607974496724756,0.40617546128318105,0.772630763552684,0.601470424060812,-0.7249930725196245,0.10984643787459467,0.6538984288036354,0.04713552383021647,0.37984941025322416,-0.3115701920754434,-0.30186267881787887,1.0691493570325161,0.7263719572266357,-0.18939450375380684,0.41693135943970877,1.3241515122724363,0.07131730777464028,1.3466661343965343,0.9227206071382671,-0.42716703633420167,-0.14628340761325453,0.5652421508424843
A. Clarke,CF,52,2.5094678377085593,-0.015066648247653964,0.008050600378646208,-0.6079971934472636,-0.7407977246527399,-0.2892271089470813,0.6908656349262742,-1.1649819842307712,-0.6411078570344857,-0.9266444976257459,-1.0513883915178992,-0.5988272086939708,0.8685240119333532,0.22163694814240814,0.9747701448975451,-0.16235244506890897,-0.9446146047687021,-1.0682872466015185,-0.6549720631190574,0.3623024120634201,-1.0280724676570159,4.84524315320179,0.5680232669575638,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,-0.6080760341444643,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,2.116369405673641,3.0103765329516845,3.588223072629888,0.4291479932540844,-1.254963693758456,-1.6963568642845674,-0.7354693645641698,-0.689625615577754,1.6501811634532046,1.44720463017679,-0.5749909185753725,-0.19848452094881386,0.27515870458041386,1.2278932484366014,-0.19159319328657934,1.6052559430456987,0.07545080921462793,-0.31831468448485456,-0.31708739459238844,1.262401589767293,1.04472759432075,-0.6166315821151824,-1.7418887479028773,-0.5727508604383934,-0.8282384901595177,-1.0594681794066285,-0.3115701920754434,-0.30186267881787887,-0.6396339219708181,-0.6285953491510956,-0.7899136619975843,-0.20922985575911354,0.1099909867667514,-0.8752239236845886,-0.7774851043200137,-1.093511744222993,-0.7817756871863485,-0.7362814503180662,-2.920047485843611
A. Collins,CF,297,0.16649007245277103,-1.4336580512712205,-0.30927918714116853,-0.6079971934472636,1.7342233389317026,-0.2892271089470813,0.7811496506599659,0.7892065594923767,-0.6411078570344857,-0.1601103806470328,-1.0513883915178992,0.5550394483744512,-0.16875285414417523,-0.8981766258378906,0.8603613642635838,-0.8956695176917214,1.24871119658493,-0.7758728542835845,-0.6549720631190574,-0.5658334171930721,0.42515823274377346,-0.6201820766547261,-0.29543759341695547,-0.2764540215920316,-0.28512500254067474,-0.30079275124540944,-0.27521306804690276,0.14947552920408552,-0.6080760341444643,-0.21148595311615026,-0.188587837560883,-0.3965129458821062,-0.328086444391059,-0.2880738769637885,-0.4518682209167754,-1.2954157853705213,-0.8051074421977916,-0.6186649384458016,-0.48245923642025024,-0.6931716554377886,-0.7354693645641698,-0.689625615577754,-1.2715697879745138,-0.18162074108854934,1.4580685396693716,-0.19848452094881386,-0.5807190698564346,0.20852389364204765,-1.125800199281373,-1.153443488701965,1.185540630373774,0.4938174775462029,-1.2159667905527607,-0.5719460739578334,0.001517014435374361,-1.1008719923600336,-1.7418887479028773,-0.5727508604383934,-0.6823428211612287,-0.4679678000943603,-0.3115701920754434,-0.30186267881787887,0.8681160300909472,-0.6285953491510956,-0.7899136619975843,-1.1123469930651075,-1.069721921808535,-0.14711528410056643,-0.7774851043200137,1.117056255462244,-0.07255838548205479,-1.6652838932510572,-0.30621095015582395
